snr_db,drop_index,selected_ssb,subcarrier,raw_power,normalized_power
-2.0,0,3,0,1.055091556392077,0.9999999999999999
-2.0,0,3,1,1.0556554810693413,1.0000000000000007
-2.0,0,3,2,1.0562127833009312,0.9999999999999999
-2.0,0,3,3,1.0567633967734522,0.9999999999999996
-2.0,0,3,4,1.0573072559694077,1.0
-2.0,0,3,5,1.0578442961749932,1.0000000000000002
-2.0,0,3,6,1.0583744534877935,1.0000000000000007
-2.0,0,3,7,1.0588976648243915,0.9999999999999999
-2.0,0,3,8,1.05941386792787,0.9999999999999997
-2.0,0,3,9,1.0599230013752203,0.9999999999999998
-2.0,0,3,10,1.060425004584655,1.0000000000000016
-2.0,0,3,11,1.0609198178228139,0.9999999999999997
-2.0,0,3,12,1.0614073822118668,0.9999999999999999
-2.0,0,3,13,1.0618876397365287,1.0000000000000007
-2.0,0,3,14,1.0623605332509576,1.0000000000000004
-2.0,0,3,15,1.062826006485554,0.9999999999999999
-2.0,0,3,16,1.0632840040536566,1.0
-2.0,0,3,17,1.0637344714581367,0.9999999999999997
-2.0,0,3,18,1.0641773550978757,1.0000000000000002
-2.0,0,3,19,1.0646126022741522,0.9999999999999996
-2.0,0,3,20,1.0650401611969025,1.0000000000000002
-2.0,0,3,21,1.065459980990892,0.9999999999999993
-2.0,0,3,22,1.0658720117017633,0.9999999999999999
-2.0,0,3,23,1.066276204301981,0.9999999999999997
-2.0,0,3,24,1.0666725106966697,0.9999999999999997
-2.0,0,3,25,1.06706088372933,0.9999999999999996
-2.0,0,3,26,1.067441277187455,1.0000000000000002
-2.0,0,3,27,1.0678136458080283,0.9999999999999999
-2.0,0,3,28,1.0681779452829074,0.9999999999999993
-2.0,0,3,29,1.0685341322640969,0.9999999999999999
-2.0,0,3,30,1.0688821643689097,1.0
-2.0,0,3,31,1.069222000185004,1.0000000000000007
-2.0,0,3,32,1.0695535992753173,1.0
-2.0,0,3,33,1.0698769221828746,0.9999999999999996
-2.0,0,3,34,1.0701919304354806,1.0000000000000007
-2.0,0,3,35,1.070498586550306,1.0000000000000007
-2.0,0,3,36,1.070796854038339,1.0
-2.0,0,3,37,1.0710866974087316,1.0000000000000004
-2.0,0,3,38,1.0713680821730205,0.9999999999999999
-2.0,0,3,39,1.071640974849232,1.0000000000000007
-2.0,0,3,40,1.0719053429658685,1.0000000000000004
-2.0,0,3,41,1.0721611550657666,1.0000000000000007
-2.0,0,3,42,1.0724083807098466,0.9999999999999997
-2.0,0,3,43,1.0726469904807259,1.0000000000000009
-2.0,0,3,44,1.0728769559862301,1.0000000000000007
-2.0,0,3,45,1.073098249862764,0.9999999999999999
-2.0,0,3,46,1.0733108457785678,1.0000000000000002
-2.0,0,3,47,1.0735147184368548,1.0000000000000002
