snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-12.0,B-SSB,P-SSB,500,0,0,7,493
-12.0,B-SSB,BC-SSB,500,0,0,6,494
-12.0,B-SSB,BC-BEAM,500,0,0,8,492
-12.0,B-SSB,CDD-SSB,500,0,0,25,475
-12.0,B-SSB,CDD-BEAM,500,0,0,31,469
-12.0,B-SSB,CDD-IDEAL,500,0,0,30,470
-12.0,P-SSB,BC-SSB,500,1,6,5,488
-12.0,P-SSB,BC-BEAM,500,2,5,6,487
-12.0,P-SSB,CDD-SSB,500,2,5,23,470
-12.0,P-SSB,CDD-BEAM,500,2,5,29,464
-12.0,P-SSB,CDD-IDEAL,500,2,5,28,465
-12.0,BC-SSB,BC-BEAM,500,6,0,2,492
-12.0,BC-SSB,CDD-SSB,500,6,0,19,475
-12.0,BC-SSB,CDD-BEAM,500,6,0,25,469
-12.0,BC-SSB,CDD-IDEAL,500,6,0,24,470
-12.0,BC-BEAM,CDD-SSB,500,7,1,18,474
-12.0,BC-BEAM,CDD-BEAM,500,8,0,23,469
-12.0,BC-BEAM,CDD-IDEAL,500,8,0,22,470
-12.0,CDD-SSB,CDD-BEAM,500,23,2,8,467
-12.0,CDD-SSB,CDD-IDEAL,500,24,1,6,469
-12.0,CDD-BEAM,CDD-IDEAL,500,26,5,4,465
-10.0,B-SSB,P-SSB,500,2,5,77,416
-10.0,B-SSB,BC-SSB,500,4,3,109,384
-10.0,B-SSB,BC-BEAM,500,4,3,174,319
-10.0,B-SSB,CDD-SSB,500,7,0,360,133
-10.0,B-SSB,CDD-BEAM,500,7,0,367,126
-10.0,B-SSB,CDD-IDEAL,500,7,0,373,120
-10.0,P-SSB,BC-SSB,500,31,48,82,339
-10.0,P-SSB,BC-BEAM,500,41,38,137,284
-10.0,P-SSB,CDD-SSB,500,63,16,304,117
-10.0,P-SSB,CDD-BEAM,500,61,18,313,108
-10.0,P-SSB,CDD-IDEAL,500,63,16,317,104
-10.0,BC-SSB,BC-BEAM,500,108,5,70,317
-10.0,BC-SSB,CDD-SSB,500,113,0,254,133
-10.0,BC-SSB,CDD-BEAM,500,112,1,262,125
-10.0,BC-SSB,CDD-IDEAL,500,113,0,267,120
-10.0,BC-BEAM,CDD-SSB,500,177,1,190,132
-10.0,BC-BEAM,CDD-BEAM,500,177,1,197,125
-10.0,BC-BEAM,CDD-IDEAL,500,177,1,203,119
-10.0,CDD-SSB,CDD-BEAM,500,362,5,12,121
-10.0,CDD-SSB,CDD-IDEAL,500,365,2,15,118
-10.0,CDD-BEAM,CDD-IDEAL,500,370,4,10,116
