snr_db,curve_id,scheme,covariance,blocks,mean_nmse,source_plan,source_run
-12.0,B-SSB,baseline,ssb_pdp,500,0.4389654957101976,plan-002,run-001
-12.0,BC-BEAM,beam_cycling,per_beam_pdp,500,0.3701597756083512,plan-002,run-001
-12.0,BC-SSB,beam_cycling,ssb_pdp,500,0.4288502926671339,plan-002,run-001
-12.0,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.08960551895525344,plan-002,run-001
-12.0,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.08071663258445785,plan-002,run-001
-12.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.10081296368448728,plan-002,run-001
-12.0,P-SSB,pol_cycling,ssb_pdp,500,0.4390760375794024,plan-002,run-001
-11.5,B-SSB,baseline,ssb_pdp,500,0.40937685816681063,plan-002,run-002
-11.5,BC-BEAM,beam_cycling,per_beam_pdp,500,0.3440726536074199,plan-002,run-002
-11.5,BC-SSB,beam_cycling,ssb_pdp,500,0.40007636836565846,plan-002,run-002
-11.5,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.08218057977230225,plan-002,run-002
-11.5,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.0739530657206973,plan-002,run-002
-11.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.09212242416486256,plan-002,run-002
-11.5,P-SSB,pol_cycling,ssb_pdp,500,0.4100835060742393,plan-002,run-002
-11.0,B-SSB,baseline,ssb_pdp,500,0.3807834425377208,plan-002,run-002
-11.0,BC-BEAM,beam_cycling,per_beam_pdp,500,0.3216414228059698,plan-002,run-002
-11.0,BC-SSB,beam_cycling,ssb_pdp,500,0.37305769050706317,plan-002,run-002
-11.0,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.07554912228857132,plan-002,run-002
-11.0,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.0679355254249112,plan-002,run-002
-11.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.0839993386214686,plan-002,run-002
-11.0,P-SSB,pol_cycling,ssb_pdp,500,0.3816071792239822,plan-002,run-002
-10.5,B-SSB,baseline,ssb_pdp,500,0.3543865256376073,plan-002,run-002
-10.5,BC-BEAM,beam_cycling,per_beam_pdp,500,0.29714642066939784,plan-002,run-002
-10.5,BC-SSB,beam_cycling,ssb_pdp,500,0.3456350415619194,plan-002,run-002
-10.5,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.0692655516351918,plan-002,run-002
-10.5,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.06223240518562953,plan-002,run-002
-10.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.07632196050815745,plan-002,run-002
-10.5,P-SSB,pol_cycling,ssb_pdp,500,0.35618688383862085,plan-002,run-002
-10.0,B-SSB,baseline,ssb_pdp,500,0.32894006223442135,plan-002,run-001
-10.0,BC-BEAM,beam_cycling,per_beam_pdp,500,0.27754422729044637,plan-002,run-001
-10.0,BC-SSB,beam_cycling,ssb_pdp,500,0.3221321512493427,plan-002,run-001
-10.0,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.06358483385098859,plan-002,run-001
-10.0,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.057382883825412664,plan-002,run-001
-10.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.0702329928894822,plan-002,run-001
-10.0,P-SSB,pol_cycling,ssb_pdp,500,0.33037641424870806,plan-002,run-001
-9.5,B-SSB,baseline,ssb_pdp,500,0.3056689087264368,plan-002,run-002
-9.5,BC-BEAM,beam_cycling,per_beam_pdp,500,0.2561236435885624,plan-002,run-002
-9.5,BC-SSB,beam_cycling,ssb_pdp,500,0.29814586336951826,plan-002,run-002
-9.5,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.059353113549436946,plan-002,run-002
-9.5,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.05388680741929969,plan-002,run-002
-9.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.0649931137808641,plan-002,run-002
-9.5,P-SSB,pol_cycling,ssb_pdp,500,0.3079756600672529,plan-002,run-002
-8.5,B-SSB,baseline,ssb_pdp,500,0.25987593148268057,plan-002,run-002
-8.5,BC-BEAM,beam_cycling,per_beam_pdp,500,0.21919088779292095,plan-002,run-002
-8.5,BC-SSB,beam_cycling,ssb_pdp,500,0.25368677310916765,plan-002,run-002
-8.5,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.04888791133202635,plan-002,run-002
-8.5,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.04433810802452934,plan-002,run-002
-8.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.053272631977046896,plan-002,run-002
-8.5,P-SSB,pol_cycling,ssb_pdp,500,0.2630794550851385,plan-002,run-002
-6.0,B-SSB,baseline,ssb_pdp,381,0.1687631670061111,plan-001,run-001
-6.0,BC-BEAM,beam_cycling,per_beam_pdp,381,0.1436493265945423,plan-001,run-001
-6.0,BC-SSB,beam_cycling,ssb_pdp,381,0.16478062906514424,plan-001,run-001
-6.0,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,381,0.031922652121586584,plan-001,run-001
-6.0,CDD-IDEAL,beam_cdd,ideal_covariance,381,0.02918778603225065,plan-001,run-001
-6.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,381,0.03433493124284244,plan-001,run-001
-6.0,P-SSB,pol_cycling,ssb_pdp,381,0.17148349102848603,plan-001,run-001
-4.0,B-SSB,baseline,ssb_pdp,381,0.11564817569712124,plan-001,run-001
-4.0,BC-BEAM,beam_cycling,per_beam_pdp,381,0.10023679469930942,plan-001,run-001
-4.0,BC-SSB,beam_cycling,ssb_pdp,381,0.11285709454980276,plan-001,run-001
-4.0,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,381,0.022466878052981983,plan-001,run-001
-4.0,CDD-IDEAL,beam_cdd,ideal_covariance,381,0.020739014066865485,plan-001,run-001
-4.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,381,0.02385266088071661,plan-001,run-001
-4.0,P-SSB,pol_cycling,ssb_pdp,381,0.11750761187786327,plan-001,run-001
-2.0,B-SSB,baseline,ssb_pdp,381,0.07811831331090313,plan-001,run-001
-2.0,BC-BEAM,beam_cycling,per_beam_pdp,381,0.06857055943508138,plan-001,run-001
-2.0,BC-SSB,beam_cycling,ssb_pdp,381,0.07632868630257711,plan-001,run-001
-2.0,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,381,0.015426586934439759,plan-001,run-001
-2.0,CDD-IDEAL,beam_cdd,ideal_covariance,381,0.014302190796698666,plan-001,run-001
-2.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,381,0.016312464396988625,plan-001,run-001
-2.0,P-SSB,pol_cycling,ssb_pdp,381,0.07954210612566695,plan-001,run-001
0.0,B-SSB,baseline,ssb_pdp,381,0.052358237183440744,plan-001,run-001
0.0,BC-BEAM,beam_cycling,per_beam_pdp,381,0.04689409365972262,plan-001,run-001
0.0,BC-SSB,beam_cycling,ssb_pdp,381,0.05112764107937301,plan-001,run-001
0.0,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,381,0.010556058235275449,plan-001,run-001
0.0,CDD-IDEAL,beam_cdd,ideal_covariance,381,0.00976488134801744,plan-001,run-001
0.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,381,0.01112609678917326,plan-001,run-001
0.0,P-SSB,pol_cycling,ssb_pdp,381,0.053733473983391344,plan-001,run-001
