snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason,source_plan,source_run
-10.5,P-SSB,estimated_csi,pol_cycling,ssb_pdp,469,500,0.938,0.9133402868983618,0.9559807908573184,fixed_common_drops,plan-002,run-002
-10.5,PERF-baseline,perfect_csi,baseline,perfect_csi,24,500,0.048,0.03246520694135317,0.07042719683589006,fixed_common_drops,plan-002,run-002
-10.5,PERF-beam_cdd,perfect_csi,beam_cdd,perfect_csi,126,500,0.252,0.2159338483813719,0.2918478244875581,fixed_common_drops,plan-002,run-002
-10.5,PERF-beam_cycling,perfect_csi,beam_cycling,perfect_csi,123,500,0.246,0.21028099168567072,0.2855921732687978,fixed_common_drops,plan-002,run-002
-10.5,PERF-pol_cycling,perfect_csi,pol_cycling,perfect_csi,149,500,0.298,0.25957321187843246,0.33950702166803465,fixed_common_drops,plan-002,run-002
-10.0,B-SSB,estimated_csi,baseline,ssb_pdp,493,500,0.986,0.9713869308622147,0.9932022102091564,fixed_common_drops,plan-002,run-001
-10.0,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,322,500,0.644,0.601078749973113,0.68472543997396,fixed_common_drops,plan-002,run-001
-10.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,387,500,0.774,0.7353316422926235,0.8084902191344461,fixed_common_drops,plan-002,run-001
-10.0,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,126,500,0.252,0.2159338483813719,0.2918478244875581,fixed_common_drops,plan-002,run-001
-10.0,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,120,500,0.24,0.204637860033381,0.2793267970066262,fixed_common_drops,plan-002,run-001
-10.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,133,500,0.266,0.2291604018204711,0.30640778951553543,fixed_common_drops,plan-002,run-001
-10.0,P-SSB,estimated_csi,pol_cycling,ssb_pdp,421,500,0.842,0.8074376489887337,0.8713473021355645,fixed_common_drops,plan-002,run-001
-10.0,PERF-baseline,perfect_csi,baseline,perfect_csi,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops,plan-002,run-001
-10.0,PERF-beam_cdd,perfect_csi,beam_cdd,perfect_csi,59,500,0.118,0.09259300825150649,0.14923198786111944,fixed_common_drops,plan-002,run-001
-10.0,PERF-beam_cycling,perfect_csi,beam_cycling,perfect_csi,41,500,0.082,0.06101908946846895,0.10935485915738874,fixed_common_drops,plan-002,run-001
-10.0,PERF-pol_cycling,perfect_csi,pol_cycling,perfect_csi,65,500,0.13,0.10332065036463456,0.16232136157691412,fixed_common_drops,plan-002,run-001
-9.5,B-SSB,estimated_csi,baseline,ssb_pdp,289,500,0.578,0.534276977868969,0.6205336250190289,fixed_common_drops,plan-002,run-002
-9.5,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,207,500,0.414,0.37164260890980144,0.45766877764958563,fixed_common_drops,plan-002,run-002
-9.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,272,500,0.544,0.5001738756211381,0.5871551824182454,fixed_common_drops,plan-002,run-002
-9.5,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,54,500,0.108,0.08372280963705038,0.13825467328480662,fixed_common_drops,plan-002,run-002
-9.5,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,49,500,0.098,0.07492391886460623,0.12720605086648182,fixed_common_drops,plan-002,run-002
-9.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,59,500,0.118,0.09259300825150649,0.14923198786111944,fixed_common_drops,plan-002,run-002
-9.5,P-SSB,estimated_csi,pol_cycling,ssb_pdp,294,500,0.588,0.5443465920099858,0.630311524068781,fixed_common_drops,plan-002,run-002
-9.5,PERF-baseline,perfect_csi,baseline,perfect_csi,0,500,0.0,4.336808689942018e-19,0.007624340461552238,fixed_common_drops,plan-002,run-002
-9.5,PERF-beam_cdd,perfect_csi,beam_cdd,perfect_csi,23,500,0.046,0.030845108370816207,0.06807779276827323,fixed_common_drops,plan-002,run-002
-9.5,PERF-beam_cycling,perfect_csi,beam_cycling,perfect_csi,11,500,0.022,0.012328008269927582,0.03896086121131636,fixed_common_drops,plan-002,run-002
-9.5,PERF-pol_cycling,perfect_csi,pol_cycling,perfect_csi,22,500,0.044,0.029233955628607186,0.06571944287232845,fixed_common_drops,plan-002,run-002
-8.5,B-SSB,estimated_csi,baseline,ssb_pdp,19,500,0.038,0.024460118055830392,0.058584772530643876,fixed_common_drops,plan-002,run-002
-8.5,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,54,500,0.108,0.08372280963705038,0.13825467328480662,fixed_common_drops,plan-002,run-002
-8.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,70,500,0.14,0.11232266018786358,0.17316686494445405,fixed_common_drops,plan-002,run-002
-8.5,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,6,500,0.012,0.005510995174027701,0.02593036111644729,fixed_common_drops,plan-002,run-002
-8.5,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,6,500,0.012,0.005510995174027701,0.02593036111644729,fixed_common_drops,plan-002,run-002
-8.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,7,500,0.014,0.006797789790843493,0.028613069137785288,fixed_common_drops,plan-002,run-002
-8.5,P-SSB,estimated_csi,pol_cycling,ssb_pdp,86,500,0.172,0.1414541198436514,0.20754744749912687,fixed_common_drops,plan-002,run-002
-8.5,PERF-baseline,perfect_csi,baseline,perfect_csi,0,500,0.0,4.336808689942018e-19,0.007624340461552238,fixed_common_drops,plan-002,run-002
-8.5,PERF-beam_cdd,perfect_csi,beam_cdd,perfect_csi,2,500,0.004,0.0010976305226827908,0.01446571521517703,fixed_common_drops,plan-002,run-002
