Config,Family,Scheme,PRG_Size_RB,Precoding_Mode,CE_Mode,Precoding_Basis,DMRS_Pattern,N_Coarse_SSB,N_Fine_Beams,Channel_Model,CDL_Type,SNR(dB),BLER
"PRG/FDM: array 16-dir fine pair, 24RB+24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-18.0,0.44
"PRG/FDM: array 16-dir fine pair, 24RB+24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-17.0,0.35
"PRG/FDM: array 16-dir fine pair, 24RB+24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-16.0,0.17
"PRG/FDM: array 16-dir fine pair, 24RB+24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-15.0,0.12
"PRG/FDM: array 16-dir fine pair, 24RB+24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-14.0,0.11
"PRG/FDM: array 16-dir fine pair, 24RB+24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-13.0,0.06
"PRG/FDM: array 16-dir fine pair, 24RB+24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-12.0,0.04
"PRG/FDM: array 16-dir fine pair, 24RB+24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,-11.0,0.0
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-25.0,1.0
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-24.0,1.0
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-23.0,1.0
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-22.0,1.0
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-21.0,0.9615384615384616
