Config,Family,Scheme,PRG_Size_RB,Precoding_Mode,CE_Mode,Precoding_Basis,Channel_Model,CDL_Type,SNR(dB),BLER
"Array-based: refined 8-ant fine beam, full 48RB",array_based,array_refined_fine,48,traditional,fullband,polarization,CDL,CDLC,-11.0,0.0
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-25.0,0.6756756756756757
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-24.0,0.38461538461538464
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-23.0,0.245
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-22.0,0.26595744680851063
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-21.0,0.07
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-20.0,0.02
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-19.0,0.0
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-18.0,0.0
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-17.0,0.0
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-16.0,0.0
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-15.0,0.0
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-14.0,0.0
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-13.0,0.0
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-12.0,0.0
"Precoding-based: cyclic dual-pol, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,CDL,CDLC,-11.0,0.0
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-25.0,0.8620689655172413
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-24.0,0.7692307692307693
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-23.0,0.5555555555555556
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-22.0,0.46296296296296297
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-21.0,0.2631578947368421
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-20.0,0.1
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-19.0,0.06
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-18.0,0.02
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-17.0,0.0
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-16.0,0.0
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-15.0,0.0
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-14.0,0.0
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-13.0,0.0
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-12.0,0.0
"Precoding-based: cyclic adjacent-beam basis, PRG=12RB",precoding_based,precoding_cyclic,24,cyclic,fullband,spatial_adjacent,CDL,CDLC,-11.0,0.0
