snr_db,curve_id,scheme,covariance,blocks,mean_nmse,source_runs
-8.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.009732773216150813,run-001/estimated
-8.5,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.04632072558789921,run-001/estimated
-8.5,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.04637982058569605,run-001/estimated
-6.0,B-SSB,baseline,ssb_pdp,500,0.025937221905233745,run-002/wide_2
-6.0,BC-SSB,beam_cycling,ssb_pdp,500,0.024358821031497203,run-002/wide_2
-6.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.005542871125134855,run-002/wide_2
-6.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.026221951700046386,run-002/wide_2
-6.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.02613803520185709,run-002/wide_2
-5.0,B-SSB,baseline,ssb_pdp,500,0.02102669376209609,run-002/wide_2
-5.0,BC-SSB,beam_cycling,ssb_pdp,500,0.019858745319080023,run-002/wide_2
-5.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.004530322327506788,run-002/wide_2
-5.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.021521688067437154,run-002/wide_2
-5.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.021394928660883696,run-002/wide_2
-4.0,B-SSB,baseline,ssb_pdp,500,0.017708851324692087,run-002/wide_2
-4.0,BC-SSB,beam_cycling,ssb_pdp,500,0.016677607593337924,run-002/wide_2
-4.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.00361490290343917,run-002/wide_2
-4.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.017850650583310743,run-002/wide_2
-4.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.017843476825774855,run-002/wide_2
-2.0,B-SSB,baseline,ssb_pdp,500,0.012522356593915356,run-002/wide_2
-2.0,BC-SSB,beam_cycling,ssb_pdp,500,0.011630277668809544,run-002/wide_2
-2.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.0026244672816529203,run-002/wide_2
-2.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.012609421839539064,run-002/wide_2
-2.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.012682994491339682,run-002/wide_2
0.0,B-SSB,baseline,ssb_pdp,500,0.008305404386981075,run-002/wide_2
0.0,BC-SSB,beam_cycling,ssb_pdp,500,0.007740067144864529,run-002/wide_2
0.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.001751114024088059,run-002/wide_2
0.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.008685639172916393,run-002/wide_2
0.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.008592430102518752,run-002/wide_2
2.0,B-SSB,baseline,ssb_pdp,500,0.0055920370476553825,run-002/wide_2
2.0,BC-SSB,beam_cycling,ssb_pdp,500,0.005262732737105606,run-002/wide_2
2.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.0011875270495445539,run-002/wide_2
2.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.005729170718767832,run-002/wide_2
2.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.0057080662608238065,run-002/wide_2
