snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,source_runs
-10.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,23,500,0.046,0.030845108370816207,0.06807779276827323,run-001/estimated
-10.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,30,500,0.06,0.04234835648094621,0.08436106312521979,run-001/estimated
-10.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,29,500,0.058,0.0406837291117572,0.08205618785625499,run-001/estimated
-10.0,B-SSB,estimated_csi,baseline,ssb_pdp,64,1500,0.042666666666666665,0.03355366749284015,0.054116118472552516,run-001/estimated+run-004/core
-10.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,64,1500,0.042666666666666665,0.03355366749284015,0.054116118472552516,run-001/estimated+run-004/core
-10.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,46,1500,0.030666666666666665,0.023069473888211452,0.040661618414465556,run-001/estimated+run-004/core
-10.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,65,1500,0.043333333333333335,0.03414340356776987,0.05485630982332924,run-001/estimated+run-004/core
-10.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,65,1500,0.043333333333333335,0.03414340356776987,0.05485630982332924,run-001/estimated+run-004/core
-9.5,B-SSB,estimated_csi,baseline,ssb_pdp,24,500,0.048,0.03246520694135317,0.07042719683589006,run-001/estimated
-9.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,22,500,0.044,0.029233955628607186,0.06571944287232845,run-001/estimated
-9.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,18,500,0.036,0.022891060980292723,0.05618432696802775,run-001/estimated
-9.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,24,500,0.048,0.03246520694135317,0.07042719683589006,run-001/estimated
-9.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,25,500,0.05,0.03409374524384944,0.07276816117154758,run-001/estimated
-9.0,B-SSB,estimated_csi,baseline,ssb_pdp,21,500,0.042,0.027632310108451706,0.06335158575433014,run-001/estimated
-9.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,19,500,0.038,0.024460118055830392,0.058584772530643876,run-001/estimated
-9.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,14,500,0.028,0.016750974720756453,0.04644640267494887,run-001/estimated
-9.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,22,500,0.044,0.029233955628607186,0.06571944287232845,run-001/estimated
-9.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,22,500,0.044,0.029233955628607186,0.06571944287232845,run-001/estimated
-8.5,B-SSB,estimated_csi,baseline,ssb_pdp,16,500,0.032,0.01979151362657112,0.05134486904544178,run-001/estimated
-8.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,14,500,0.028,0.016750974720756453,0.04644640267494887,run-001/estimated
-8.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,13,500,0.026,0.015256383923327248,0.043971490834224275,run-001/estimated
-8.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,21,500,0.042,0.027632310108451706,0.06335158575433014,run-001/estimated
-8.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,20,500,0.04,0.026040797389777263,0.0609735958348508,run-001/estimated
-6.0,B-SSB,estimated_csi,baseline,ssb_pdp,4,500,0.008,0.003115315180062238,0.020387035834105165,run-002/wide_2
-6.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,4,500,0.008,0.003115315180062238,0.020387035834105165,run-002/wide_2
-6.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
-6.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,4,500,0.008,0.003115315180062238,0.020387035834105165,run-002/wide_2
-6.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,4,500,0.008,0.003115315180062238,0.020387035834105165,run-002/wide_2
-5.0,B-SSB,estimated_csi,baseline,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,run-002/wide_2
-5.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
-5.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
-5.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,run-002/wide_2
-5.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,run-002/wide_2
-4.0,B-SSB,estimated_csi,baseline,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,run-002/wide_2
-4.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
-4.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
-4.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,run-002/wide_2
-4.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,run-002/wide_2
