snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11,source_runs
-11.0,P2-SSB,CDD-SSB,1500,1418,5,18,59,run-001/estimated+run-004/core
-11.0,P2-SSB,P6-SSB,1500,1423,0,0,77,run-001/estimated+run-004/core
-11.0,P6-SSB,BC-SSB,1500,1417,6,9,68,run-001/estimated+run-004/core
-11.0,P6-SSB,CDD-SSB,1500,1418,5,18,59,run-001/estimated+run-004/core
-10.5,B-SSB,BC-SSB,500,467,3,2,28,run-001/estimated
-10.5,B-SSB,CDD-SSB,500,470,0,7,23,run-001/estimated
-10.5,B-SSB,P2-SSB,500,469,1,1,29,run-001/estimated
-10.5,B-SSB,P6-SSB,500,470,0,1,29,run-001/estimated
-10.5,BC-SSB,CDD-SSB,500,469,0,8,23,run-001/estimated
-10.5,P2-SSB,BC-SSB,500,466,4,3,27,run-001/estimated
-10.5,P2-SSB,CDD-SSB,500,469,1,8,22,run-001/estimated
-10.5,P2-SSB,P6-SSB,500,470,0,1,29,run-001/estimated
-10.5,P6-SSB,BC-SSB,500,467,4,2,27,run-001/estimated
-10.5,P6-SSB,CDD-SSB,500,470,1,7,22,run-001/estimated
-10.0,B-SSB,BC-SSB,1500,1428,8,8,56,run-001/estimated+run-004/core
-10.0,B-SSB,CDD-SSB,1500,1436,0,18,46,run-001/estimated+run-004/core
-10.0,B-SSB,P2-SSB,1500,1431,5,4,60,run-001/estimated+run-004/core
-10.0,B-SSB,P6-SSB,1500,1431,5,4,60,run-001/estimated+run-004/core
-10.0,BC-SSB,CDD-SSB,1500,1436,0,18,46,run-001/estimated+run-004/core
-10.0,P2-SSB,BC-SSB,1500,1427,8,9,56,run-001/estimated+run-004/core
-10.0,P2-SSB,CDD-SSB,1500,1434,1,20,45,run-001/estimated+run-004/core
-10.0,P2-SSB,P6-SSB,1500,1435,0,0,65,run-001/estimated+run-004/core
-10.0,P6-SSB,BC-SSB,1500,1427,8,9,56,run-001/estimated+run-004/core
-10.0,P6-SSB,CDD-SSB,1500,1434,1,20,45,run-001/estimated+run-004/core
-9.5,B-SSB,BC-SSB,500,475,1,3,21,run-001/estimated
-9.5,B-SSB,CDD-SSB,500,475,1,7,17,run-001/estimated
-9.5,B-SSB,P2-SSB,500,475,1,1,23,run-001/estimated
-9.5,B-SSB,P6-SSB,500,474,2,1,23,run-001/estimated
-9.5,BC-SSB,CDD-SSB,500,478,0,4,18,run-001/estimated
-9.5,P2-SSB,BC-SSB,500,475,1,3,21,run-001/estimated
-9.5,P2-SSB,CDD-SSB,500,475,1,7,17,run-001/estimated
-9.5,P2-SSB,P6-SSB,500,475,1,0,24,run-001/estimated
-9.5,P6-SSB,BC-SSB,500,474,1,4,21,run-001/estimated
-9.5,P6-SSB,CDD-SSB,500,474,1,8,17,run-001/estimated
-9.0,B-SSB,BC-SSB,500,477,2,4,17,run-001/estimated
-9.0,B-SSB,CDD-SSB,500,479,0,7,14,run-001/estimated
-9.0,B-SSB,P2-SSB,500,476,3,2,19,run-001/estimated
-9.0,B-SSB,P6-SSB,500,476,3,2,19,run-001/estimated
-9.0,BC-SSB,CDD-SSB,500,480,1,6,13,run-001/estimated
-9.0,P2-SSB,BC-SSB,500,477,1,4,18,run-001/estimated
-9.0,P2-SSB,CDD-SSB,500,477,1,9,13,run-001/estimated
-9.0,P2-SSB,P6-SSB,500,478,0,0,22,run-001/estimated
-9.0,P6-SSB,BC-SSB,500,477,1,4,18,run-001/estimated
-9.0,P6-SSB,CDD-SSB,500,477,1,9,13,run-001/estimated
-8.5,B-SSB,BC-SSB,500,484,0,2,14,run-001/estimated
-8.5,B-SSB,CDD-SSB,500,484,0,3,13,run-001/estimated
-8.5,B-SSB,P2-SSB,500,479,5,0,16,run-001/estimated
-8.5,B-SSB,P6-SSB,500,480,4,0,16,run-001/estimated
-8.5,BC-SSB,CDD-SSB,500,486,0,1,13,run-001/estimated
-8.5,P2-SSB,BC-SSB,500,479,0,7,14,run-001/estimated
-8.5,P2-SSB,CDD-SSB,500,479,0,8,13,run-001/estimated
-8.5,P2-SSB,P6-SSB,500,479,0,1,20,run-001/estimated
-8.5,P6-SSB,BC-SSB,500,480,0,6,14,run-001/estimated
-8.5,P6-SSB,CDD-SSB,500,480,0,7,13,run-001/estimated
-6.0,B-SSB,BC-SSB,500,495,1,1,3,run-002/wide_2
-6.0,B-SSB,CDD-SSB,500,496,0,3,1,run-002/wide_2
-6.0,B-SSB,P2-SSB,500,496,0,0,4,run-002/wide_2
