snr_db,curve_id,block_errors,blocks,raw_bler,wilson_low,wilson_high,monotone_bler,source_runs
-7.5,P2-SSB,105,5000,0.021,0.017377941132514303,0.02535751733085043,0.021,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.0,P2-SSB,98,5000,0.0196,0.016110299881331586,0.023827308147479305,0.0196,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.5,P2-SSB,82,5000,0.0164,0.013232664150440112,0.020309857170819144,0.0164,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.0,P2-SSB,72,5500,0.01309090909090909,0.010408698377934329,0.016452805523809975,0.01309090909090909,outputs/plan-003/run-002/wide_2+outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-18.0,P6-SSB,142,1000,0.142,0.12173404205455421,0.16500591702110326,0.142,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-17.5,P6-SSB,128,1000,0.128,0.10870752216300937,0.15013958615024364,0.128,outputs/plan-004/run-001/threshold-half-grid
-17.0,P6-SSB,120,1000,0.12,0.10129926060130913,0.14160907584771273,0.12,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-16.5,P6-SSB,110,1000,0.11,0.0920793726718571,0.1309054989468759,0.11,outputs/plan-004/run-001/threshold-half-grid
-16.0,P6-SSB,99,1000,0.099,0.08199544136866538,0.11907361893674984,0.099,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-15.5,P6-SSB,87,1000,0.087,0.07107442145237501,0.10608648105669351,0.087,outputs/plan-004/run-001/threshold-half-grid
-15.0,P6-SSB,79,1000,0.079,0.06384721576082919,0.09737491488400823,0.079,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-14.0,P6-SSB,110,1500,0.07333333333333333,0.061202950709795784,0.08764349683809242,0.07333333333333333,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-13.0,P6-SSB,95,1500,0.06333333333333334,0.05208839990254764,0.07680913625974421,0.06333333333333334,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-12.0,P6-SSB,84,1500,0.056,0.04545839056668996,0.06880994391283121,0.056,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-11.0,P6-SSB,77,1500,0.051333333333333335,0.04126738520030481,0.06369145729927139,0.051333333333333335,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-10.5,P6-SSB,74,1500,0.04933333333333333,0.039478762555287365,0.06149029766716955,0.04933333333333333,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-10.0,P6-SSB,65,1500,0.043333333333333335,0.03414340356776987,0.05485630982332924,0.043333333333333335,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-9.5,P6-SSB,60,1500,0.04,0.03120153051034394,0.05114854575222304,0.04,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-9.0,P6-SSB,50,1500,0.03333333333333333,0.02537496605978659,0.04367583594571614,0.03333333333333333,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.5,P6-SSB,46,1500,0.030666666666666665,0.023069473888211452,0.040661618414465556,0.030666666666666665,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.0,P6-SSB,115,5000,0.023,0.019196646091299507,0.027535741564284996,0.023,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.5,P6-SSB,106,5000,0.0212,0.017559414371953234,0.025575737010633474,0.0212,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.0,P6-SSB,97,5000,0.0194,0.015929606684229693,0.02360830842535922,0.0194,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.5,P6-SSB,80,5000,0.016,0.01287517502756183,0.01986796045525347,0.016,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.0,P6-SSB,72,5500,0.01309090909090909,0.010408698377934329,0.016452805523809975,0.01309090909090909,outputs/plan-003/run-002/wide_2+outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-18.0,BC-SSB,142,1000,0.142,0.12173404205455421,0.16500591702110326,0.142,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
