snr_db,curve_id,blocks,mean_nmse,source_runs
-10.0,P6-SSB,1500,0.054828264000702176,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-9.5,P6-SSB,1500,0.05081992901794629,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-9.0,P6-SSB,1500,0.046784522261806065,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.5,P6-SSB,1500,0.04271869173561085,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.0,P6-SSB,5000,0.03665902099243334,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.5,P6-SSB,5000,0.03370986419136601,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.0,P6-SSB,5000,0.030827067438744245,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.5,P6-SSB,5000,0.028039449539873664,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.0,P6-SSB,5500,0.025882932722673828,outputs/plan-003/run-002/wide_2+outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-18.0,BC-SSB,1000,0.17375254785859112,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-17.5,BC-SSB,1000,0.16175133548642476,outputs/plan-004/run-001/threshold-half-grid
-17.0,BC-SSB,1000,0.1502682208387614,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-16.5,BC-SSB,1000,0.14035235655046352,outputs/plan-004/run-001/threshold-half-grid
-16.0,BC-SSB,1000,0.1300993170803548,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-15.5,BC-SSB,1000,0.12156775809897098,outputs/plan-004/run-001/threshold-half-grid
-15.0,BC-SSB,1000,0.11356665871452622,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-14.0,BC-SSB,1500,0.096102831734248,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-13.0,BC-SSB,1500,0.0820526203361211,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-12.0,BC-SSB,1500,0.06991938106155485,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-11.0,BC-SSB,1500,0.06272489702768087,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-10.5,BC-SSB,1500,0.058180473045259876,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-10.0,BC-SSB,1500,0.053374428107226576,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-9.5,BC-SSB,1500,0.04943202477793316,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-9.0,BC-SSB,1500,0.04608871442971512,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.5,BC-SSB,1500,0.04169676987580152,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.0,BC-SSB,5000,0.03474307622837044,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.5,BC-SSB,5000,0.0318442805148944,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.0,BC-SSB,5000,0.02913829836858609,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.5,BC-SSB,5000,0.026499018039783464,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.0,BC-SSB,5500,0.024283176073825793,outputs/plan-003/run-002/wide_2+outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-18.0,CDD-SSB,1000,0.045878657804797614,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-17.5,CDD-SSB,1000,0.043313980708365514,outputs/plan-004/run-001/threshold-half-grid
-17.0,CDD-SSB,1000,0.03865070523621073,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-16.5,CDD-SSB,1000,0.036095836188118895,outputs/plan-004/run-001/threshold-half-grid
-16.0,CDD-SSB,1000,0.03338700047668824,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-15.5,CDD-SSB,1000,0.03164001829975756,outputs/plan-004/run-001/threshold-half-grid
-15.0,CDD-SSB,1000,0.028422913560326727,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-14.0,CDD-SSB,1500,0.022862237237691856,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-13.0,CDD-SSB,1500,0.01934364397862122,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-12.0,CDD-SSB,1500,0.01547547889592066,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-11.0,CDD-SSB,1500,0.014079802295050676,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-10.5,CDD-SSB,1500,0.012846130701376973,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-10.0,CDD-SSB,1500,0.011754414212933873,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-9.5,CDD-SSB,1500,0.010451841891278844,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-9.0,CDD-SSB,1500,0.009639541186438214,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.5,CDD-SSB,1500,0.008849642097370247,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.0,CDD-SSB,5000,0.007205699919722039,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.5,CDD-SSB,5000,0.006560534441330808,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.0,CDD-SSB,5000,0.006047841465342408,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.5,CDD-SSB,5000,0.0054312496177518115,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.0,CDD-SSB,5500,0.0049769361051159745,outputs/plan-003/run-002/wide_2+outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
