snr_db,p2_mean_nmse,p6_mean_nmse,p6_minus_p2,p6_over_p2
-18.0,0.17803209049910346,0.17810416504869328,7.20745495898234e-05,1.0004048402138501
-17.5,0.16605053089067,0.16574443015381196,-0.0003061007368580504,0.998156580799735
-17.0,0.15484094844130744,0.15451919217808316,-0.0003217562632242821,0.9979220208448526
-16.5,0.14374354878801077,0.14383934302958867,9.579424157790672e-05,1.0006664246318224
-16.0,0.133171063303308,0.13340751989681315,0.00023645659350515769,1.0017755853834898
-15.5,0.12450668413278866,0.12488392003088587,0.00037723589809721125,1.0030298445479031
-15.0,0.11583995454265306,0.11618220500865108,0.0003422504659980202,1.002954511397637
-14.0,0.09913008523641262,0.09906360013379674,-6.648510261587914e-05,0.9993293145823761
-13.0,0.08497329693670669,0.08491647659273989,-5.682034396679858e-05,0.9993313152953319
-12.0,0.07221090963762977,0.07220979408479457,-1.1155528352041477e-06,0.9999845514640266
-11.0,0.06421709561133747,0.06429512234345831,7.802673212084499e-05,1.0012150461084863
-10.5,0.05959846340192362,0.0598108584306702,0.0002123950287465856,1.0035637668594612
-10.0,0.054737485699651464,0.054828264000702176,9.077830105071183e-05,1.001658430230954
-9.5,0.050759643498637055,0.05081992901794629,6.02855193092347e-05,1.001187666326121
-9.0,0.046817502192418696,0.046784522261806065,-3.297993061263105e-05,0.9992955640718062
-8.5,0.042718427001334255,0.04271869173561085,2.647342765976779e-07,1.000006197191591
-8.0,0.03671874855036355,0.03665902099243334,-5.972755793021145e-05,0.9983733770815122
-7.5,0.03370507398501677,0.03370986419136601,4.790206349240822e-06,1.0001421212233912
-7.0,0.0308339789585767,0.030827067438744245,-6.9115198324531946e-06,0.9997758472936062
-6.5,0.028078991081152357,0.028039449539873664,-3.954154127869258e-05,0.9985917748552855
-6.0,0.02585842648382118,0.025882932722673828,2.4506238852646522e-05,1.0009477080466587
