snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-11.5,B-SSB,P-SSB,500,0,0,11,489
-11.5,B-SSB,BC-SSB,500,0,0,10,490
-11.5,B-SSB,BC-BEAM,500,0,0,14,486
-11.5,B-SSB,CDD-SSB,500,0,0,66,434
-11.5,B-SSB,CDD-BEAM,500,0,0,69,431
-11.5,B-SSB,CDD-IDEAL,500,0,0,75,425
-11.5,P-SSB,BC-SSB,500,3,8,7,482
-11.5,P-SSB,BC-BEAM,500,3,8,11,478
-11.5,P-SSB,CDD-SSB,500,5,6,61,428
-11.5,P-SSB,CDD-BEAM,500,4,7,65,424
-11.5,P-SSB,CDD-IDEAL,500,5,6,70,419
-11.5,BC-SSB,BC-BEAM,500,10,0,4,486
-11.5,BC-SSB,CDD-SSB,500,10,0,56,434
-11.5,BC-SSB,CDD-BEAM,500,10,0,59,431
-11.5,BC-SSB,CDD-IDEAL,500,10,0,65,425
-11.5,BC-BEAM,CDD-SSB,500,14,0,52,434
-11.5,BC-BEAM,CDD-BEAM,500,14,0,55,431
-11.5,BC-BEAM,CDD-IDEAL,500,14,0,61,425
-11.5,CDD-SSB,CDD-BEAM,500,61,5,8,426
-11.5,CDD-SSB,CDD-IDEAL,500,62,4,13,421
-11.5,CDD-BEAM,CDD-IDEAL,500,65,4,10,421
-11.0,B-SSB,P-SSB,500,0,0,17,483
-11.0,B-SSB,BC-SSB,500,0,0,23,477
-11.0,B-SSB,BC-BEAM,500,0,0,30,470
-11.0,B-SSB,CDD-SSB,500,0,0,156,344
-11.0,B-SSB,CDD-BEAM,500,0,0,159,341
-11.0,B-SSB,CDD-IDEAL,500,0,0,171,329
-11.0,P-SSB,BC-SSB,500,6,11,17,466
-11.0,P-SSB,BC-BEAM,500,6,11,24,459
-11.0,P-SSB,CDD-SSB,500,11,6,145,338
-11.0,P-SSB,CDD-BEAM,500,11,6,148,335
-11.0,P-SSB,CDD-IDEAL,500,11,6,160,323
-11.0,BC-SSB,BC-BEAM,500,22,1,8,469
-11.0,BC-SSB,CDD-SSB,500,23,0,133,344
-11.0,BC-SSB,CDD-BEAM,500,22,1,137,340
-11.0,BC-SSB,CDD-IDEAL,500,23,0,148,329
-11.0,BC-BEAM,CDD-SSB,500,30,0,126,344
-11.0,BC-BEAM,CDD-BEAM,500,29,1,130,340
-11.0,BC-BEAM,CDD-IDEAL,500,30,0,141,329
-11.0,CDD-SSB,CDD-BEAM,500,145,11,14,330
-11.0,CDD-SSB,CDD-IDEAL,500,154,2,17,327
-11.0,CDD-BEAM,CDD-IDEAL,500,153,6,18,323
-10.5,B-SSB,P-SSB,500,0,0,31,469
-10.5,B-SSB,BC-SSB,500,0,0,46,454
-10.5,B-SSB,BC-BEAM,500,0,0,74,426
-10.5,B-SSB,CDD-SSB,500,0,0,281,219
-10.5,B-SSB,CDD-BEAM,500,0,0,283,217
-10.5,B-SSB,CDD-IDEAL,500,0,0,284,216
-10.5,P-SSB,BC-SSB,500,9,22,37,432
-10.5,P-SSB,BC-BEAM,500,10,21,64,405
-10.5,P-SSB,CDD-SSB,500,23,8,258,211
-10.5,P-SSB,CDD-BEAM,500,23,8,260,209
-10.5,P-SSB,CDD-IDEAL,500,22,9,262,207
-10.5,BC-SSB,BC-BEAM,500,44,2,30,424
-10.5,BC-SSB,CDD-SSB,500,46,0,235,219
-10.5,BC-SSB,CDD-BEAM,500,46,0,237,217
-10.5,BC-SSB,CDD-IDEAL,500,46,0,238,216
-10.5,BC-BEAM,CDD-SSB,500,73,1,208,218
